0	Fields group	Management of the resource											Metadata of the text (description of item)																																														Identifier(s) of related resources			Link(s) to repository of visual documentation			0
0													Text identity						Related entities			Text typology				Language(s) and script(s)												Physical form							Date of the text					Filiation							Rights								0
0	Fields	Identifier of the resource	Origin of the metadata	DHARMA import	Editor of the metadata	Date of the edition	Contributor of the metadata	Reviewer	Date of review	Project	Corpus	Distribution rights of the metadata	Identifier of the text	Designation	Alternative identifier	Alternative designation	Alternative designation	Location on the artefact/conglomerate artefact/monument	ID of the artefact(s)	ID of the conglomerate artefact	ID of the monument	Text type 1	Text type 2	Text type 3	Text type 4	Language 1	Script classification 1	Script maturity 1	Language 2	Script classification 2	Script maturity 2	Language 3	Script classification 3	Script maturity 3	Language 4	Script classification 4	Script maturity 4	Lettering technique	Lines (observed)	Lines (estimated)	Lines per zone(s)	Dimensions of text zone(s)	Height of glyph	Width of glyph	Date CE	Date range CE	Date certainty	Date precision	Date evidence	Other instances	Type of filiation	Reissue date	Bibliographic references (primary)	Bibliographic references (secondary)	Keyword(s)	Remarks	Project responsible for publication	Distribution rights of the text edition	Identifier of the surrogate	Identifier of the digital image	Identifier of the 3D model	Link to external repository of surrogates	Link to external repository of digital images of inscriptions	Link to external repository of 3D models	0
78		INSVengiCalukya00078	Fleet1885_01		daba	2025-10-30				DHARMA	VengiCalukya	CC0	INSVengiCalukya00078	Korumelli grant of Rājarāja I Narendra		Korumelli plates of Rājarāja Narendra$Korumilli grant$Korumilli plates		Plates (A), Seal (B)		CONARTVengiCalukya000078		donative-secular_donation				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	vernacular_Brahmi--derived_script	Telugu	brahmi_and_derivatives-southern_class_brahmi	vernacular_Brahmi--derived_script							engraved	116		A:116$B:1	12.5×24.1	0.5			1018-1061			reign				Fleet1885_01			Line spacing 0.75 cm.	DHARMA	CC-BY-SA							78
79		INSVengiCalukya00079	Venkataramanayya1951-1952_01		daba	2025-10-30				DHARMA	VengiCalukya	CC0	INSVengiCalukya00079	Kalidiṇḍi grant of Rājarāja I Narendra				Plates (A), Seal (B)		CONARTVengiCalukya000079		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	vernacular_Brahmi--derived_script	Telugu	brahmi_and_derivatives-southern_class_brahmi	vernacular_Brahmi--derived_script							engraved	122		A:122$B:1	12.3×24.7	0.45			1018-1061			reign				Venkataramanayya1951-1952_01$earlier Venkataramanayya1943_01			Line spacing 0.7 cm.	DHARMA	CC-BY-SA							79
80		INSVengiCalukya00080	daba autopsy		daba	2024-02-10				DHARMA	VengiCalukya	CC0	INSVengiCalukya00080	Musinikuṇḍa grant of Viṣṇuvardhana III		Mushinikuṇḍa grant$Musinikoṇḍa grant		Plates (A), Seal (B)		CONARTVengiCalukya000080		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	55		A:55$B:1	8.2×16	0.7			719-755			reign				Ramesam1945-1946_01			Line spacing 1.1 cm.	DHARMA	CC-BY-SA							80
81		INSVengiCalukya00081	ParabrahmaSastry1994_01		daba	2024-02-26				DHARMA	VengiCalukya	CC0	INSVengiCalukya00081	Boṇḍāḍa grant of Viṣṇuvardhana III						CONARTVengiCalukya000081		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script	Telugu	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script							engraved	25							719-755			reign				ParabrahmaSastry1994_01				DHARMA	CC-BY-SA							81
82		INSVengiCalukya00082	Sampath1977-1978_02 and ASI estampage cover sheet		daba	2024-07-10				DHARMA	VengiCalukya	CC0	INSVengiCalukya00082	Tāṇḍivāḍa grant of Vijayāditya II				Plates (A), Seal (B)		CONARTVengiCalukya000082		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	32		A:32$B:1	8.2×21.5	0.5			808-847			reign				Sampath1977-1978_02			Line spacing 1 cm.	DHARMA	CC-BY-SA							82
83		INSVengiCalukya00083	RamachandraMurthy1973-1974_02 and daba autopsy		daba	2024-03-14				DHARMA	VengiCalukya	CC0	INSVengiCalukya00083	Peravali plates of Viṣṇuvardhana IV		Reṇḍubaḷḷi grant of Viṣṇuvardhana V$Raṇḍubaḷḷi grant of Viṣṇuvardhana V$Raṇḍuballi grant of Viṣṇuvardhana V		Plates (A), Seal (B)		CONARTVengiCalukya000083		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	39		A:39$B:1	7.4×19.7	0.55			772-808	low		reign				RamachandraMurthy1973-1974_02 (item A)			Line spacing 1.1 cm.	DHARMA	CC-BY-SA							83
84		INSVengiCalukya00084	RamachandraMurthy1973-1974_02 and daba autopsy		daba	2024-03-14				DHARMA	VengiCalukya	CC0	INSVengiCalukya00084	Permmañcili grant of Viṣṇuvardhana IV		Permmajīli grant of Viṣṇuvardhana V$Godavari plates of Viṣṇuvardhana V		Plates (A), Seal (B)		CONARTVengiCalukya000084		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	28		A:28$B:1	6×17.2	0.5			772-808			reign				RamachandraMurthy1973-1974_02 (item B)			Line spacing 0.8 cm.	DHARMA	CC-BY-SA							84
85		INSVengiCalukya00085	Sampath1996_01		daba	2024-03-18				DHARMA	VengiCalukya	CC0	INSVengiCalukya00085	Ḻūḷā grant of Viṣṇuvardhana IV						CONARTVengiCalukya000085		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	28							772-808			reign				Sampath1996_01$also Subramanyan, Journal of Andhra History and Culture Vol. 2 No 4 (Jan 1945) pp 109-115				DHARMA	CC-BY-SA							85
86		INSVengiCalukya00086	Ramesh+Sampath1977-1978_01		daba	2024-10-15				DHARMA	VengiCalukya	CC0	INSVengiCalukya00086	Kāṭlapaṟṟu grant of Vijayāditya III				Plates (A), Seal (B)		CONARTVengiCalukya000086		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	72		A:72$B:1	11.2×21.9	0.5			885-894			reign				Ramesh+Sampath1977-1978_01			Line spacing 1.2 cm.	DHARMA	CC-BY-SA							86
87		INSVengiCalukya00087	PadmanabhaSastry1975-1976_01 and ASI cover sheet		daba	2025-03-28				DHARMA	VengiCalukya	CC0	INSVengiCalukya00087	Pulivaṟṟu (spurious?) grant of Amma I				Plates (A), Seal (B)		CONARTVengiCalukya000087		donative-secular_donation				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	56		A:56$B:1	7.4×18.5	0.6			921-927	low		reign				PadmanabhaSastry1975-1976_01			Line spacing 1 cm.	DHARMA	CC-BY-SA							87
88		INSVengiCalukya00088	daba autopsy		daba	2024-01-12				DHARMA	VengiCalukya	CC0	INSVengiCalukya00088	Pamiḍimukkala plates (set 1) of Viṣṇuvardhana II, year 3				Plates (A), Seal (B)		CONARTVengiCalukya000088		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	28		A:28$B:1	6.1×19.2	0.5			674-676	low		internal_date				Sampath2016_01			Line spacing 0.8 cm.	DHARMA	CC-BY-SA							88
89		INSVengiCalukya00089	daba autopsy		daba	2024-01-12				DHARMA	VengiCalukya	CC0	INSVengiCalukya00089	Pamiḍimukkala plates (set 2) of Viṣṇuvardhana II				Plates (A), Seal (B)		CONARTVengiCalukya000089		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script	Telugu	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script							engraved	28		A:28$B:1	6.8×17.1	0.6			673-682	low		reign							Line spacing 1.1 cm.	DHARMA	CC-BY-SA							89
90		INSVengiCalukya00090	daba autopsy		daba	2024-02-15				DHARMA	VengiCalukya	CC0	INSVengiCalukya00090	Peñceṟekuru grant of Maṅgi Yuvarāja				Plates (A), Seal (B)		CONARTVengiCalukya000090		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	22		A:22$B:1	6×19.5	0.55			682-684			internal_date							Line spacing 0.9 cm.	DHARMA	CC-BY-SA							90
91		INSVengiCalukya00091	daba autopsy		daba	2024-02-19				DHARMA	VengiCalukya	CC0	INSVengiCalukya00091	Timmapuram unfinished plates of Maṅgi Yuvarāja				Plates (A), Seal (B)		CONARTVengiCalukya000091		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	7		A:7$B:1	5.6×19	0.5			682-706			reign							Line spacing 1 cm.	DHARMA	CC-BY-SA							91
92		INSVengiCalukya00092	daba autopsy and museum catalogue		daba	2024-02-26				DHARMA	VengiCalukya	CC0	INSVengiCalukya00092	Pasapubaṟṟu grant of Viṣṇuvardhana III				Plates (A), Seal (B)		CONARTVengiCalukya000092		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script	Telugu	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script							engraved	24		A:24$B:1	5.6×14.6	0.5			719-755			reign							Line spacing 1 cm.	DHARMA	CC-BY-SA							92
93		INSVengiCalukya00093	daba autopsy		daba	2024-02-26				DHARMA	VengiCalukya	CC0	INSVengiCalukya00093	Ariyeṟa grant of Viṣṇuvardhana III				Plates (A), Seal (B)		CONARTVengiCalukya000093		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	20		A:20$B:1	5.8×14.8	0.6			719-755			reign							Line spacing 0.85 cm.	DHARMA	CC-BY-SA							93
94		INSVengiCalukya00094	daba autopsy		daba	2024-03-18				DHARMA	VengiCalukya	CC0	INSVengiCalukya00094	Senavurabu grant of Viṣṇuvardhana IV		Sēnāvuramu grant of Viṣṇuvardhana		Plates (A), Seal (B)		CONARTVengiCalukya000094		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	27		A:27$B:1	7.9×20.7	0.6			772-808			reign							Line spacing 1 cm.	DHARMA	CC-BY-SA							94
95		INSVengiCalukya00095	daba autopsy		daba	2024-01-26				DHARMA	VengiCalukya	CC0	INSVengiCalukya00095	Uṟuvuṭūru grant of Vijayāditya III		Urpuṭūru grant of Vijayāditya III		Plates (A), Seal (B)		CONARTVengiCalukya000095		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	56		A:56$B:1	8.3×24	0.5			849-892			reign				according to KrishnaRao1930-1931_02, published in Journal of the Telugu Academy, vol 1 pp140-150 (also ARIE: edited in Journal of the Telugu Academy by Ramayya Pantulu). Not found in what is my supposed PDF of ASPP vol 1.			Line spacing 1.2 cm.	DHARMA	CC-BY-SA							95
96		INSVengiCalukya00096	daba autopsy and Durgaprasad1983_01		daba	2023-12-04				DHARMA	VengiCalukya	CC0	INSVengiCalukya00096	Peddāpurappāḍu plates (set 3) of Viṣṇuvardhana II				Plates (A), Seal (B)		CONARTVengiCalukya000096		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	36		A:36$B:1	7.3×18.8	0.6			673-682			reign				Bhārati 60 1983/10 48ff			Line spacing 0.9 cm.	DHARMA	CC-BY-SA							96
97		INSVengiCalukya00097	daba autopsy		daba	2024-01-19				DHARMA	VengiCalukya	CC0	INSVengiCalukya00097	Pulgoṭlapaṁbuluru grant of Vijayāditya III				Plates (A), Seal (B)		CONARTVengiCalukya000097		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script	Telugu	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script							engraved	56		A:56$B:1	7.1×20.1	0.45			849-892			reign							Line spacing 0.9 cm.	DHARMA	CC-BY-SA							97
98		INSVengiCalukya00098	Jogarao1963_01		daba	2023-12-15				DHARMA	VengiCalukya	CC0	INSVengiCalukya00098	Pithapuram plates (set 1) of Jayasiṁha I				Plates (A), Seal (B)		CONARTVengiCalukya000098		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	29	35	A:29$B:1					641-673			reign				Jogarao1963_01				DHARMA	CC-BY-SA							98
99		INSVengiCalukya00099	Jogarao1963_01		daba	2023-12-15				DHARMA	VengiCalukya	CC0	INSVengiCalukya00099	Pithapuram plates (set 2 ) of Jayasiṁha I				Plates (A), Seal (B)		CONARTVengiCalukya000099		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	18		A:18$B:1					641-673			reign				Jogarao1963_01				DHARMA	CC-BY-SA							99
100		INSVengiCalukya00100	daba autopsy and ARIE1913-1914		daba	2024-07-15				DHARMA	VengiCalukya	CC0	INSVengiCalukya00100	Vedatulūru grant of Bhīma I		Veḍatulūru grant$Veḍatalūru grant$Narasapur plates$Narasapuram plates of Bhīma I$Masulipatam grant of Cālukya-Bhīma I		Plates (A), Seal (B)		CONARTVengiCalukya000100		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	69		A:69$B:1	11.5×24.5	0.6			892-921			reign							Line spacing 1.3 cm.	DHARMA	CC-BY-SA							100
101		INSVengiCalukya00101	daba autopsy		daba	2024-10-02				DHARMA	VengiCalukya	CC0	INSVengiCalukya00101	Penuṁbulugu grant of Amma I		Penubulugu grant of Amma I$Vinnakota plates of Amma I		Plates (A), Seal (B)		CONARTVengiCalukya00101		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	76		A:76$B:1	12.5×27	0.5			921-927			reign				Sampath1984_01			Line spacing 1.3 cm.	DHARMA	CC-BY-SA							101
102		INSVengiCalukya00102	PadmanabhaSastry1990_01		daba	2024-12-04				DHARMA	VengiCalukya	CC0	INSVengiCalukya00102	Kōḻūru (spurious?) grant of Bhīma II		Amalapuram plates of Bhīma II		Plates (A), Seal (B)		CONARTVengiCalukya00102		donative-secular_donation				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script	Telugu	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script							engraved	51		A:51$B:1	9.8×23.6	0.4			934-945	low		reign				PadmanabhaSastry1990_01			Line spacing 1.2 cm.	DHARMA	CC-BY-SA							102
103		INSVengiCalukya00103	daba autopsy		daba	2024-10-16				DHARMA	VengiCalukya	CC0	INSVengiCalukya00103	Guṇḍipoduṟu grant of Śaktivarman				Plates (A), Seal (B)		CONARTVengiCalukya00103		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script	Telugu	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script							engraved	70		A:70$B:1	11×23.3	0.5			1000-1011			reign							Line spacing 1.1 cm.	DHARMA	CC-BY-SA							103
104		INSVengiCalukya00104	Kielhorn1896-1897_04 and daba autopsy		daba	2025-08-28				DHARMA	VengiCalukya	CC0	INSVengiCalukya00104	Nandamapūṇḍi grant of Rājarāja I Narendra				Plates (A), Seal (B)		CONARTVengiCalukya00104		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	vernacular_Brahmi--derived_script	Telugu	brahmi_and_derivatives-southern_class_brahmi	vernacular_Brahmi--derived_script							engraved	93		A:93$B:1	11.5×25	0.55			1048-1050			internal_date				Kielhorn1896-1897_04$RamayyaPantulu1912_01			Line spacing 1 cm.	DHARMA	CC-BY-SA							104
105		INSVengiCalukya00105	ASI cover sheet		daba	2025-09-29				DHARMA	VengiCalukya	CC0	INSVengiCalukya00105	Gaṇapavaram plates attributed to Viṣṇuvardhana III		Ariyeṟu grant of Viṣṇuvardhana III				CONARTVengiCalukya00105		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	24			5.9×17.5	0.5			719-755	low		reign				SomasekharaSarma1924_01, Sampath2016_01 (item 2)			Line spacing 1.1 cm.	DHARMA	CC-BY-SA							105
106		INSVengiCalukya00106	ARIE and daba autopsy		daba	2025-11-21				DHARMA	VengiCalukya	CC0	INSVengiCalukya00106	Maṇḍa grant of Rājarāja I Narendra				Plates (A), Seal (B)		CONARTVengiCalukya00106		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	vernacular_Brahmi--derived_script	Telugu	brahmi_and_derivatives-southern_class_brahmi	vernacular_Brahmi--derived_script							engraved	69		A:69$B:1	12.7×22.8	0.5			1018-1061			reign				Venkataramanayya1943_02			Line spacing 0.8 cm.	DHARMA	CC-BY-SA							106
107		INSVengiCalukya00107			daba					DHARMA	VengiCalukya	CC0	INSVengiCalukya00107	*Pāmulavāka plates of Vijayāditya VII						CONARTVengiCalukya00107		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved																			DHARMA	CC-BY-SA							107
108		INSVengiCalukya00108			daba					DHARMA	VengiCalukya	CC0	INSVengiCalukya00108	*Māviṇḍēṟu grant of Vijayāditya VII						CONARTVengiCalukya00108		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved																			DHARMA	CC-BY-SA							108
109		INSVengiCalukya00109			daba					DHARMA	VengiCalukya	CC0	INSVengiCalukya00109	*Kurundūru grant of Vijayāditya VII						CONARTVengiCalukya00109		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved																			DHARMA	CC-BY-SA							109
110		INSVengiCalukya00110			daba					DHARMA	VengiCalukya	CC0	INSVengiCalukya00110	*Numiyavāḍa grant of Śaktivarman II						CONARTVengiCalukya00110		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved																			DHARMA	CC-BY-SA							110
111		INSVengiCalukya00111			daba					DHARMA	VengiCalukya	CC0	INSVengiCalukya00111	*Kolāru grant of Rājendra-Coḷa Kulottuṅga I						CONARTVengiCalukya00111		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved																			DHARMA	CC-BY-SA							111
112		INSVengiCalukya00112			daba					DHARMA	VengiCalukya	CC0	INSVengiCalukya00112	*Maṇḍadoṟṟu grant of Kulottuṅga-Coḷadeva II						CONARTVengiCalukya00112		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved																			DHARMA	CC-BY-SA							112
113		INSVengiCalukya00113			daba					DHARMA	VengiCalukya	CC0	INSVengiCalukya00113	*Cellūr plates of Vīra-Coḍa						CONARTVengiCalukya00113		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved																			DHARMA	CC-BY-SA							113
114		INSVengiCalukya00114			daba					DHARMA	VengiCalukya	CC0	INSVengiCalukya00114	*Piṭhāpuram plates of Vīra-Coḍa						CONARTVengiCalukya00114		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved																			DHARMA	CC-BY-SA							114
115		INSVengiCalukya00115			daba					DHARMA	VengiCalukya	CC0	INSVengiCalukya00115	*Ṭeki plates of Rājarāja Coḍagaṅga						CONARTVengiCalukya00115		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved																			DHARMA	CC-BY-SA							115
