0	Fields group	Management of the resource											Metadata of the text (description of item)																																														Identifier(s) of related resources			Link(s) to repository of visual documentation			0
0													Text identity						Related entities			Text typology				Language(s) and script(s)												Physical form							Date of the text					Filiation							Rights								0
0	Fields	Identifier of the resource	Origin of the metadata	DHARMA import	Editor of the metadata	Date of the edition	Contributor of the metadata	Reviewer	Date of review	Project	Corpus	Distribution rights of the metadata	Identifier of the text	Designation	Alternative identifier	Alternative designation	Alternative designation	Location on the artefact/conglomerate artefact/monument	ID of the artefact(s)	ID of the conglomerate artefact	ID of the monument	Text type 1	Text type 2	Text type 3	Text type 4	Language 1	Script classification 1	Script maturity 1	Language 2	Script classification 2	Script maturity 2	Language 3	Script classification 3	Script maturity 3	Language 4	Script classification 4	Script maturity 4	Lettering technique	Lines (observed)	Lines (estimated)	Lines per zone(s)	Dimensions of text zone(s)	Height of glyph	Width of glyph	Date CE	Date range CE	Date certainty	Date precision	Date evidence	Other instances	Type of filiation	Reissue date	Bibliographic references (primary)	Bibliographic references (secondary)	Keyword(s)	Remarks	Project responsible for publication	Distribution rights of the text edition	Identifier of the surrogate	Identifier of the digital image	Identifier of the 3D model	Link to external repository of surrogates	Link to external repository of digital images of inscriptions	Link to external repository of 3D models	0
20		INSVengiCalukya00020	Kielhorn1898-1899_01		daba	2024-03-01				DHARMA	VengiCalukya	CC0	INSVengiCalukya00020	Eḍeru plates of Vijayāditya I		Minamini grant of Vijayāditya I or II$Eḍeru plates of Vijayāditya II		Plates (A), Seal (B)		CONARTVengiCalukya000020		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	28		A:28$B:1	7.1×17.4	0.5			755-772			reign				NatesaSastri1884_01 (item 2)$ Kielhorn1898-1899_01 (item A)			Line spacing 0.9 cm.	DHARMA	CC-BY-SA							20
21		INSVengiCalukya00021	Fleet1891_04		daba	2024-07-08				DHARMA	VengiCalukya	CC0	INSVengiCalukya00021	Koṟṟapaṟṟu grant of Vijayāditya II		British Museum plates of Vijayāditya II		Plates (A), Seal (B)		CONARTVengiCalukya000021		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	52		A:52$B:1	7.2×22	0.5			808-847			reign				Hultzsch1890_01 (item 35)$ Fleet1891_04			Line spacing 1 cm.	DHARMA	CC-BY-SA							21
22		INSVengiCalukya00022	ASI estampage cover sheet		daba	2024-03-20				DHARMA	VengiCalukya	CC0	INSVengiCalukya00022	Cheruvu Madhavaram plates of Viṣṇuvardhana V						CONARTVengiCalukya000022		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	28			8.5×21.8	0.45			847-849			reign				Narasimhaswami1967-1968_01			Line spacing 1.2 cm.	DHARMA	CC-BY-SA							22
23		INSVengiCalukya00023	Kielhorn1898-1899_01		daba	2024-01-31				DHARMA	VengiCalukya	CC0	INSVengiCalukya00023	Masulipatam plates of Vijayāditya III		Ṭraṇḍapa̱ru grant of Vijayāditya III		Plates (A), Seal (B)		CONARTVengiCalukya000023		donative-secular_donation				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	40		A:40$B:1	8.5×22.5	0.5			849-892			reign				Kielhorn1898-1899_01 (item B)			Line spacing 1.5 cm.	DHARMA	CC-BY-SA							23
24		INSVengiCalukya00024	Kielhorn1898-1899_01		daba	2024-12-13				DHARMA	VengiCalukya	CC0	INSVengiCalukya00024	Bezvāḍa plates of Bhīma I				Plates (A), Seal (B)		CONARTVengiCalukya000024		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	47		A:47$B:1	7.1×16.8	0.45			892-893			reign				Kielhorn1898-1899_01 (item C)			Line spacing 0.9 cm.	DHARMA	CC-BY-SA							24
25		INSVengiCalukya00025	Sankaranarayanan1973_01 and Venkataramanayya1974_04		daba	2024-12-13				DHARMA	VengiCalukya	CC0	INSVengiCalukya00025	Kākamrāṇu grant of Bhīma I		Kākumrānu grant of Bhīma I		Plates (A), Seal (B)		CONARTVengiCalukya000025		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	91		A:91$B:1	12.6×25.3	0.45			892-921			reign				Sankaranarayanan1973_01 (item 1)$ Venkataramanayya1974_04			Line spacing 1.1 cm.	DHARMA	CC-BY-SA							25
26		INSVengiCalukya00026	Sankaranarayanan1973_01 and Venkataramanayya1974_05		daba	2024-12-13				DHARMA	VengiCalukya	CC0	INSVengiCalukya00026	Moga grant of Bhīma I				Plates (A), Seal (B)		CONARTVengiCalukya000026		donative-secular_donation				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script	Telugu	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script							engraved	56		A:56$B:1	6.2×15	0.45			892-921			reign				Sankaranarayanan1973_01 (item 2)$ Venkataramanayya1974_05			Line spacing 0.8 cm.	DHARMA	CC-BY-SA							26
27		INSVengiCalukya00027	Chhabra1947-1948_02		daba	2025-03-25				DHARMA	VengiCalukya	CC0	INSVengiCalukya00027	Cevuru plates of Amma I				Plates (A), Seal (B)		CONARTVengiCalukya000027		donative-secular_donation				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script	Telugu	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script							engraved	36		A:36$B:1	9.3×20	0.5			921-927			reign				Chhabra1947-1948_02			Line spacing 1 cm.	DHARMA	CC-BY-SA							27
28		INSVengiCalukya00028	Hultzsch1890_01 and daba autopsy		daba	2025-03-26				DHARMA	VengiCalukya	CC0	INSVengiCalukya00028	Eḍeru plates of Amma I				Plates (A), Seal (B)		CONARTVengiCalukya000028		donative-secular_donation				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	63		A:63$B:1	10×22	0.4			921-922			reign				NatesaSastri1884_01 (item 1)$ Hultzsch1890_01 (item 36)			Line spacing 1 cm.	DHARMA	CC-BY-SA							28
29		INSVengiCalukya00029	Kielhorn1898-1899_01		daba	2025-03-28				DHARMA	VengiCalukya	CC0	INSVengiCalukya00029	Drujjūru grant of Amma I		Masulipatam plates of Amma I		Plates (A), Seal (B)		CONARTVengiCalukya000029		donative-secular_donation				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	36		A:36$B:1	10.9×20.8	0.45			921-927			reign				Sewell1879_01 (item 2)$ Kielhorn1898-1899_01 (item D)			Line spacing 1.2 cm.	DHARMA	CC-BY-SA							29
